Trait,Exemplary (100%),Proficient (93%),Developing (86%),Limited (79%)
[blank],[blank],[blank],[blank],[blank]
Addressing the Issue,Comprehensively and clearly identifies and addresses the issue including all key components/variables and relevant information. Displays full understanding of issue.,Precisely identifies and addresses the issue including the majority of its key components/variables. Understanding of issue is not impeded by the omission of undefined variables.,Correctly identifies and addresses the issue but certain key components/variables remain unclear or omitted.,Limited ability to clearly identify and address the issue and its various components/variables.
Analysis & Interpretation,"Level of analysis results in insightful and comprehensive judgments that offer a number of reasonable, applicable and highly qualified conclusions. No errors in synthesis or interpretation result in concrete inferences.","Level of analysis results in competent judgments that offer several reasonable, practical and qualified conclusions. Minor errors in synthesis or interpretation result in solid inferences.",Level of analysis results in judgments that offer some reasonable and practical conclusions. Some errors in synthesis or interpretation result in incomplete inferences.,Level of analysis results in basic or uncertain judgments that offer a limited amount of plausible or applicable conclusions. Errors in synthesis/interpretation result in limited inferences.
Analysis of the Data,"Level of analysis results in insightful and comprehensive judgments that offer a number of reasonable, applicable and highly qualified conclusions. No errors in synthesis or interpretation result in concrete inferences.","Level of analysis results in competent judgments that offer several reasonable, practical and qualified conclusions. Minor errors in synthesis or interpretation result in solid inferences.",Level of analysis results in judgments that offer some reasonable and practical conclusions. Some errors in synthesis or interpretation result in incomplete inferences.,Level of analysis results in basic or uncertain judgments that offer a limited amount of plausible or applicable conclusions. Errors in synthesis/interpretation result in limited inferences.
Applying Knowledge in a Contemporary Global Business Complex,"Applies knowledge and skills to implement sophisticated, appropriate, and workable solutions to address complex global business problems using interdisciplinary perspectives independently or with others.","Plans and evaluates more complex solutions to global business challenges that are appropriate to their contexts using multiple disciplinary perspectives (such as cultural, historical, and scientific).","Formulates practical yet elementary solutions to global business challenges that use at least two disciplinary perspectives (such as cultural, historical, and scientific).","Defines global business challenges in basic ways, including a limited number of perspectives and solutions."
Assignment Completion,All of the assignment requirements are comprehensively fulfilled. Includes additional insights that were not required.,All of the assignment requirements are at least minimally fulfilled.,"Most, but not all, of the assignment requirements are fulfilled.",Major requirements of the assignment not fulfilled.
"Audience Engagement, Eye Contact, & Active Listening",Audience is fully engaged. Makes eye contact with each audience member. Displays strong active-listening skills and responds to all questions clearly and accurately.,"Audience is mostly engaged. Makes eye contact with some audience members. Displays generally good, active listening skills and the ability to appropriately/accurately address audience questions.",Audience is partly engaged. Minimal eye contact with audience members. Displays moderate active listening skills--ability to somewhat appropriately and accurately address audience questions.,Audience is not engaged. Limited to no eye contact with the audience members. Displays poor active listening skills --inability to appropriately/accurately address audience questions.
Building Individual & Organizational Capability,"The author clearly demonstrates a strong understanding of how to develop others by strengthening others, building competence & confidence, fostering collaboration, and enhancing self-determination. They describe the concept in detail and write in a manner that the reader can visualize how they attempted to develop others and includes what they did well and what they could have done more effectively.","The author shows a good understanding of how to develop others by strengthening others, building competence & confidence, fostering collaboration, and enhancing self-determination. . They describe the concept with a good level of detail. They try and communicate how they attempted to develop others and some of this communication is clear and detailed but not all of it is clear and detailed.",The author shows a moderate level of understanding of the concept of developing others and does not clearly communicate how they worked to develop others within their team.,The author does make any meaningful attempt to demonstrate their understanding of how to develop others and how they worked to develop others within their team.
Business Story-Telling,"Immediately grabs attention. Clearly establishes the appropriate context for why information is important. ""Story"" is focused and presented in a memorable fashion.","Grabs attention. Establishes the appropriate context for why information is important. ""Story"" is clear and focused.","Does not immediately grab attention. Somewhat establishes the appropriate context for why information is important. ""Story"" is slightly diffuse and unfocused.","Struggles to grab attention throughout. Little or no establishment of appropriate context for why information is important. ""Story"" is diffuse and unfocused."
"Business, Government, and Society","Demonstrates strong understanding of the complexities, nuances, and interactions between the political, business, and civil society spheres as they relate to ethical decision making processes and own core beliefs. Recognizes most of the immediate and long-term impacts of ethical decisions across spheres.","Demonstrates good understanding of the complexities and interactions between the political, business, and civil society spheres as they relate to ethical decision making processes. Recognizes some of the immediate and long-term impacts of ethical decisions across spheres.","Demonstrates some understanding of the complexities and interactions between the political, business, and civil society spheres as they relate to ethical decision making processes. Recognizes some of the immediate impacts of ethical decisions across spheres.","Demonstrates limited or no understanding of the complexities and interactions between the political, business, and civil society spheres as they relate to ethical decision making processes. Fails to recognize the impact ethical decisions across spheres."
Calculations,"Attempted calculations/models are complete and precise, resulting in the problem/task being comprehensively addressed.",Attempted calculations/models are complete with minimal errors and sufficiently address the problem/task.,Attempted calculations/models are complete with some errors and appropriately address the problem/task.,Attempted calculations/models are unsuccessful or incomplete and do not sufficiently address the problem/task.
Change Strategies,"Comprehensively identifies and suggests a number of effective and creative changes to the plan and its implementation strategies based on an analysis of shifts in plan, market or organizational needs.","Identifies and suggests a number of plausible and effective changes to the plan and its implementation strategies based on an analysis of shifts in plan, market or organizational needs.","Identifies and suggests some relevant and plausible changes to the plan and its implementation strategies based on an analysis of shifts in plan, market or organizational needs.","Limited ability to identify and suggest changes to the plan and its implementation strategies based on an analysis of shifts in plan, market or organizational needs."
Clarity,"Presents analysis in a comprehensive, well-organized and logical fashion main points are very clearly identifiable main points.","Presents analysis in an organized, logical and effective fashion. Main points clearly identifiable.","Analysis is not consistently presented in an organized, logical and effective fashion. Main points somewhat clear/focused.","Does not present analysis in an organized, logical, and effective fashion. Main points are unclear/unfocused."
Communication,Have established comprehensive feedback mechanisms and lines of communication among the group to discuss completion of the project. Used very frequently to manage progress of project and reallocate tasks/resources if necessary.,Have established consistent feedback mechanisms and lines of communication among the group to discuss completion of the project. Used frequently to discuss and manage progress of project.,Have established inconsistent feedback mechanisms and lines of communication among the group to discuss completion of the project that are rarely used by team.,Have yet to establish feedback mechanisms and lines of communication among the group to discuss completion of the project.
Conversational-Extemporaneous Technique,"Natural, extemporaneous approach--well prepared, but delivered as an animated conversation. Displays a relaxed demeanor throughout presentation with no mistakes.","Speech is mostly natural, some is rehearsed or halting. Appears generally relaxed, displaying little tension. Recovers quickly from minor mistakes.","Speech lacks naturalness. Fairly reliant on rehearsed or halting sentence structure. Displays moderate tension, nervousness. Exhibits some trouble in recovering from mistakes.","Too formal, rehearsed, memorized, or halting; unnatural sentence structure. Displays high tension, nervousness. Exhibits difficulty recovering from mistakes."
Creating Shared Values,The author clearly shows a strong understanding of the creation of shared values. They describe the concept in great detail and write in a manner that the reader can visualize how they attempted to create shared values with their team and includes what they did well and what they could have done more effectively.,The author shows a good understanding of the creation of shared values. They describe the concept with a good level of detail. They try and communicate how they attempted to create shared values and some of this communication is clear and detailed but not all of it is clear and detailed.,The author shows a moderate level of understanding of the concept of creating shared values and does not clearly communicate how they worked to create shared values with their team.,The author does not make any meaningful attempt to demonstrate their understanding of how to create shared values and how they worked to create shared values with their team.
Creating Shared Vision,The author clearly shows a strong understanding of the creation of a shared vision. They describe the concept in detail and write in a manner that the reader can visualize how they attempted to create a shared vision with their team and includes what they did well and what they could have done more effectively.,The author shows a good understanding of the creation of a shared vision. They describe the concept with a moderate level of detail. They try and communicate how they attempted to create a shared vision and some of this communication is clear and detailed but not all of it is clear and detailed.,The author shows a moderate level of understanding of the concept of creating a shared vision and does not clearly communicate how they worked to create a shared vision with their team.,The author does not make any meaningful attempt to demonstrate their understanding of how to create a shared vision and how they worked to create a shared vision with their team.
Cultural Self-Awareness,"Articulates insights into own cultural rules and biases (e.g. seeking complexity; aware of how her/his experiences have shaped these rules, and how to recognize and respond to cultural biases, resulting in a shift in self-description.)",Recognizes new perspectives about own cultural rules and biases (e.g. not looking for sameness; comfortable with the complexities that new perspectives offer.),Identifies own cultural rules and biases (e.g. with a strong preference for those rules shared with own cultural group and seeks the same in others.),Shows minimal awareness of own cultural rules and biases (even those shared with own cultural group(s)) (e.g. uncomfortable with identifying possible cultural differences with others.)
Cultural Understanding/Sensitivity,"Demonstrates sophisticated understanding of the complexity of elements important to members of another culture in relation to its history, values, politics, communication styles, economy, or beliefs and practices.","Demonstrates adequate understanding of the complexity of elements important to members of another culture in relation to its history, values, politics, communication styles, economy, or beliefs and practices.","Demonstrates partial understanding of the complexity of elements important to members of another culture in relation to its history, values, politics, communication styles, economy, or beliefs and practices.","Demonstrates surface understanding of the complexity of elements important to members of another culture in relation to its history, values, politics, communication styles, economy, or beliefs and practices."
Customer & Market Analysis,Well-defined and comprehensive analysis of market need and value proposition resulting in the clear identification of target customer as well as secondary markets.,"Target customer clearly identified, supported by clear and comprehensive definition of the market need and value proposition.",Clearly identifies some target customers. Analysis of the market consists of mostly facts with some additional analysis.,"Limited definition of market need and value proposition, centered mostly on facts with little analysis. Identification of target customer requires more clarification."
Data Analysis & Interpretation,"Level of data analysis results in insightful and comprehensive judgments that offer a number of reasonable, applicable and highly qualified conclusions. No errors in calculations, synthesis or interpretation result in concrete inferences.","Level of data analysis results in competent judgments that offer several reasonable, practical and qualified conclusions. Minor errors in calculations, synthesis or interpretation result in solid inferences.",Level of data analysis results in judgments that offer some reasonable and practical conclusions. Some errors in synthesis or interpretation result in incomplete inferences.,"Level of data analysis results in basic or uncertain judgments that offer a limited amount of plausible or applicable conclusions. Errors in calculations, synthesis, interpretation result in limited inferences."
